scenario,family,phase,criu_opts,pre_dump,post_dump,restore_mem_mib,hub_mode,launch_ok,dump_rc,restore_rc,img_kib,v_pong,v_stat,v_hub,v_tcp,v_live5,v_resume,rereg_ms,verdict,world,dump_err,restore_err
S064one_log.file__epg_index,S,epg_index,filelocks,none,none,0,normal,1,1,na,13588,na,na,na,na,na,na,na,dump_fail,"up_s=12837 regs=3236 log_rx=55150 svcs=4 mem_mib=855 memd_kills=90","(00.139881) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S064one_log.file__ready,S,ready,filelocks,none,none,0,normal,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12846 regs=3236 log_rx=55200 svcs=4 mem_mib=855 memd_kills=90","(00.113905) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S064one_log.file__steady,S,steady,filelocks,none,none,0,normal,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12855 regs=3236 log_rx=55200 svcs=4 mem_mib=855 memd_kills=90","(00.154673) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S065one_log.perm__init,S,init,permissive,none,none,0,normal,1,0,0,280,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12863 regs=3236 log_rx=55250 svcs=4 mem_mib=855 memd_kills=90","",""
S065one_log.perm__db_open,S,db_open,permissive,none,none,0,normal,1,0,0,288,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12871 regs=3236 log_rx=55300 svcs=4 mem_mib=855 memd_kills=90","",""
S065one_log.perm__log_open,S,log_open,permissive,none,none,0,normal,1,0,0,288,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12879 regs=3236 log_rx=55350 svcs=4 mem_mib=855 memd_kills=90","",""
S065one_log.perm__epg_index,S,epg_index,permissive,none,none,0,normal,1,0,0,13596,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12887 regs=3236 log_rx=55350 svcs=4 mem_mib=855 memd_kills=90","",""
S065one_log.perm__ready,S,ready,permissive,none,none,0,normal,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12896 regs=3236 log_rx=55400 svcs=4 mem_mib=855 memd_kills=90","(00.137937) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S065one_log.perm__steady,S,steady,permissive,none,none,0,normal,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12905 regs=3236 log_rx=55450 svcs=4 mem_mib=855 memd_kills=90","(00.135067) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S066one_lockf.stri__init,S,init,strict,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12913 regs=3236 log_rx=55500 svcs=4 mem_mib=855 memd_kills=90","",""
S066one_lockf.stri__db_open,S,db_open,strict,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12921 regs=3236 log_rx=55500 svcs=4 mem_mib=855 memd_kills=90","",""
S066one_lockf.stri__db_lock,S,db_lock,strict,none,none,0,none,1,1,na,264,na,na,na,na,na,na,na,dump_fail,"up_s=12922 regs=3236 log_rx=55500 svcs=4 mem_mib=843 memd_kills=90","(00.121703) Error (criu/file-lock.c:110): Some file locks are hold by dumping tasks! You can try --file-locks to dump them.",""
S066one_lockf.stri__epg_index,S,epg_index,strict,none,none,0,none,1,1,na,13576,na,na,na,na,na,na,na,dump_fail,"up_s=12928 regs=3236 log_rx=55550 svcs=4 mem_mib=855 memd_kills=90","(00.135569) Error (criu/file-lock.c:110): Some file locks are hold by dumping tasks! You can try --file-locks to dump them.",""
S066one_lockf.stri__ready,S,ready,strict,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12937 regs=3236 log_rx=55600 svcs=4 mem_mib=855 memd_kills=90","(00.133035) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S066one_lockf.stri__steady,S,steady,strict,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12946 regs=3236 log_rx=55600 svcs=4 mem_mib=855 memd_kills=90","(00.123354) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S067one_lockf.ext___init,S,init,ext_unix,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12954 regs=3236 log_rx=55650 svcs=4 mem_mib=856 memd_kills=90","",""
S067one_lockf.ext___db_open,S,db_open,ext_unix,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12962 regs=3236 log_rx=55700 svcs=4 mem_mib=855 memd_kills=90","",""
S067one_lockf.ext___db_lock,S,db_lock,ext_unix,none,none,0,none,1,1,na,264,na,na,na,na,na,na,na,dump_fail,"up_s=12963 regs=3236 log_rx=55700 svcs=4 mem_mib=843 memd_kills=90","(00.129427) Error (criu/file-lock.c:110): Some file locks are hold by dumping tasks! You can try --file-locks to dump them.",""
S067one_lockf.ext___epg_index,S,epg_index,ext_unix,none,none,0,none,1,1,na,13572,na,na,na,na,na,na,na,dump_fail,"up_s=12969 regs=3236 log_rx=55700 svcs=4 mem_mib=855 memd_kills=90","(00.146725) Error (criu/file-lock.c:110): Some file locks are hold by dumping tasks! You can try --file-locks to dump them.",""
S067one_lockf.ext___ready,S,ready,ext_unix,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12978 regs=3236 log_rx=55750 svcs=4 mem_mib=855 memd_kills=90","(00.129809) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S067one_lockf.ext___steady,S,steady,ext_unix,none,none,0,none,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12986 regs=3236 log_rx=55800 svcs=4 mem_mib=855 memd_kills=90","(00.135401) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S068one_lockf.tcp___init,S,init,tcp_est,none,none,0,none,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12995 regs=3236 log_rx=55850 svcs=4 mem_mib=856 memd_kills=90","",""
